Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita	Confirmed_daily	Deaths_daily
Bosnia and Herzegovina	24	0	0	N/A	7.22e-06	0.0	120	48	30	3.61e-05	1.444e-05	9.025e-06	NA	NA	6	0
Armenia	26	0	0	N/A	8.81e-06	0.0	130	52	32.5	4.405e-05	1.762e-05	1.10125e-05	NA	NA	8	0
Belgium	886	4	1	N/A	7.757e-05	3.5e-07	1333.33333333	615.384615385	400	0.000116666666667	5.38461538462e-05	3.5e-05	NA	NA	197	0
Spain	7798	289	517	N/A	0.0001669	6.19e-06	96333.3333333	44461.5384615	28900	0.00206333333333	0.000952307692308	0.000619	NA	NA	1407	94
Ukraine	3	1	0	N/A	7e-08	2e-08	333.333333333	153.846153846	100	6.66666666667e-06	3.07692307692e-06	2e-06	NA	NA	0	0
Netherlands	1135	20	2	N/A	6.587e-05	1.16e-06	6666.66666667	3076.92307692	2000	0.000386666666667	0.000178461538462	0.000116	NA	NA	176	8
Denmark	875	2	1	N/A	0.00015093	3.4e-07	666.666666667	307.692307692	200	0.000113333333333	5.23076923077e-05	3.4e-05	NA	NA	39	1
Poland	119	3	0	N/A	3.13e-06	8e-08	1000	461.538461538	300	2.66666666667e-05	1.23076923077e-05	8e-06	5493	1.45e-4	16	0
Finland	244	0	10	N/A	4.422e-05	0.0	1220	488	305	0.0002211	8.844e-05	5.5275e-05	NA	NA	19	0
Macedonia	14	0	1	N/A	6.72e-06	0.0	70	28	17.5	3.36e-05	1.344e-05	8.4e-06	NA	NA	0	0
Moldova	23	0	0	N/A	6.49e-06	0.0	115	46	28.75	3.245e-05	1.298e-05	8.1125e-06	NA	NA	11	0
Sweden	1022	3	1	N/A	0.00010036	2.9e-07	1000	461.538461538	300	9.66666666667e-05	4.46153846154e-05	2.9e-05	NA	NA	61	1
Latvia	30	0	1	N/A	1.557e-05	0.0	150	60	37.5	7.785e-05	3.114e-05	1.94625e-05	NA	NA	4	0
Croatia	49	0	1	N/A	1.198e-05	0.0	245	98	61.25	5.99e-05	2.396e-05	1.4975e-05	724	1.9e-4	11	0
Malta	21	0	1	N/A	4.343e-05	0.0	105	42	26.25	0.00021715	8.686e-05	5.42875e-05	889	0.001801	3	0
Guernsey	1	0	0	N/A	1.491e-05	0.0	5	2	1.25	7.455e-05	2.982e-05	1.86375e-05	NA	NA	0	0
Monaco	2	0	0	N/A	5.17e-05	0.0	10	4	2.5	0.0002585	0.0001034	6.4625e-05	NA	NA	0	0
Switzerland	2200	14	4	N/A	0.00025832	1.64e-06	4666.66666667	2153.84615385	1400	0.000546666666667	0.000252307692308	0.000164	NA	NA	841	1
Russia	63	0	8	N/A	4.4e-07	0.0	315	126	78.75	2.2e-06	8.8e-07	5.5e-07	NA	NA	4	0
Jersey	2	0	0	N/A	2.049e-05	0.0	10	4	2.5	0.00010245	4.098e-05	2.56125e-05	NA	NA	0	0
Bulgaria	51	2	0	N/A	7.26e-06	2.8e-07	666.666666667	307.692307692	200	9.33333333333e-05	4.30769230769e-05	2.8e-05	NA	NA	10	0
Romania	131	0	9	N/A	6.73e-06	0.0	655	262	163.75	3.365e-05	1.346e-05	8.4125e-06	NA	NA	8	0
Albania	42	1	0	N/A	1.465e-05	3.5e-07	333.333333333	153.846153846	100	0.000116666666667	5.38461538462e-05	3.5e-05	NA	NA	4	0
Estonia	171	0	1	N/A	0.00012946	0.0	855	342	213.75	0.0006473	0.00025892	0.000161825	971	7.47e-4	56	0
Portugal	245	0	2	N/A	2.383e-05	0.0	1225	490	306.25	0.00011915	4.766e-05	2.97875e-05	NA	NA	76	0
Kosovo	2	0	0	N/A	1.08e-06	0.0	10	4	2.5	5.4e-06	2.16e-06	1.35e-06	NA	NA	NA	NA
Liechtenstein	4	0	0	N/A	0.00010551	0.0	20	8	5	0.00052755	0.00021102	0.0001318875	NA	NA	0	0
Azerbaijan	23	1	6	N/A	2.31e-06	1e-07	333.333333333	153.846153846	100	3.33333333333e-05	1.53846153846e-05	1e-05	NA	NA	8	0
United Kingdom	1144	21	19	N/A	1.721e-05	3.2e-07	7000	3230.76923077	2100	0.000106666666667	4.92307692308e-05	3.2e-05	NA	NA	1	0
Austria	860	1	6	N/A	9.721e-05	1.1e-07	333.333333333	153.846153846	100	3.66666666667e-05	1.69230769231e-05	1.1e-05	NA	NA	205	0
West Bank and Gaza	0	0	0	N/A	0.0	0.0	0	0	0	0.0	0.0	0.0	NA	NA	0	0
Republic of Serbia	48	0	0	N/A	6.87e-06	0.0	240	96	60	3.435e-05	1.374e-05	8.5875e-06	NA	NA	2	0
Greece	331	4	8	N/A	3.085e-05	3.7e-07	1333.33333333	615.384615385	400	0.000123333333333	5.69230769231e-05	3.7e-05	NA	NA	103	1
Hungary	32	1	1	N/A	3.28e-06	1e-07	333.333333333	153.846153846	100	3.33333333333e-05	1.53846153846e-05	1e-05	1236	1.26e-4	2	1
Cyprus	26	0	0	N/A	2.222e-05	0.0	130	52	32.5	0.0001111	4.444e-05	2.7775e-05	NA	NA	0	0
New Zealand	8	0	0	N/A	1.64e-06	0.0	40	16	10	8.2e-06	3.28e-06	2.05e-06	522	1.09e-4	2	0
Australia	297	3	23	N/A	1.188e-05	1.2e-07	1000	461.538461538	300	4e-05	1.84615384615e-05	1.2e-05	NA	NA	47	0
Ivory Coast	1	0	0	N/A	4e-08	0.0	5	2	1.25	2e-07	8e-08	5e-08	NA	NA	0	0
Sudan	1	1	0	N/A	2e-08	2e-08	333.333333333	153.846153846	100	6.66666666667e-06	3.07692307692e-06	2e-06	NA	NA	0	0
Guinea	1	0	0	N/A	8e-08	0.0	5	2	1.25	4e-07	1.6e-07	1e-07	NA	NA	0	0
Ethiopia	1	0	0	N/A	1e-08	0.0	5	2	1.25	5e-08	2e-08	1.25e-08	NA	NA	0	0
Rwanda	1	0	0	N/A	8e-08	0.0	5	2	1.25	4e-07	1.6e-07	1e-07	NA	NA	0	0
Swaziland	1	0	0	N/A	8.8e-07	0.0	5	2	1.25	4.4e-06	1.76e-06	1.1e-06	NA	NA	0	0
Nigeria	2	0	0	N/A	1e-08	0.0	10	4	2.5	5e-08	2e-08	1.25e-08	NA	NA	0	0
Cameroon	2	0	0	N/A	8e-08	0.0	10	4	2.5	4e-07	1.6e-07	1e-07	NA	NA	0	0
Burkina Faso	3	0	0	N/A	1.5e-07	0.0	15	6	3.75	7.5e-07	3e-07	1.875e-07	NA	NA	1	0
Ghana	6	0	0	N/A	2e-07	0.0	30	12	7.5	1e-06	4e-07	2.5e-07	NA	NA	3	0
Algeria	48	4	12	N/A	1.14e-06	9e-08	1333.33333333	615.384615385	400	3e-05	1.38461538462e-05	9e-06	NA	NA	11	1
Republic of the Congo	1	0	0	N/A	1.9e-07	0.0	5	2	1.25	9.5e-07	3.8e-07	2.375e-07	NA	NA	NA	NA
Togo	1	0	0	N/A	1.3e-07	0.0	5	2	1.25	6.5e-07	2.6e-07	1.625e-07	NA	NA	0	0
Mauritania	1	0	0	N/A	2.3e-07	0.0	5	2	1.25	1.15e-06	4.6e-07	2.875e-07	NA	NA	0	0
Democratic Republic of the Congo	2	0	0	N/A	2e-08	0.0	10	4	2.5	1e-07	4e-08	2.5e-08	NA	NA	0	0
Central African Republic	1	0	0	N/A	2.1e-07	0.0	5	2	1.25	1.05e-06	4.2e-07	2.625e-07	NA	NA	NA	NA
Morocco	28	1	1	N/A	7.8e-07	3e-08	333.333333333	153.846153846	100	1e-05	4.61538461538e-06	3e-06	NA	NA	11	0
Namibia	2	0	0	N/A	8.2e-07	0.0	10	4	2.5	4.1e-06	1.64e-06	1.025e-06	NA	NA	0	0
Kenya	3	0	0	N/A	6e-08	0.0	15	6	3.75	3e-07	1.2e-07	7.5e-08	NA	NA	2	0
Seychelles	2	0	0	N/A	2.067e-05	0.0	10	4	2.5	0.00010335	4.134e-05	2.58375e-05	NA	NA	0	0
South Africa	51	0	0	N/A	8.8e-07	0.0	255	102	63.75	4.4e-06	1.76e-06	1.1e-06	NA	NA	13	0
Egypt	110	2	21	N/A	1.12e-06	2e-08	666.666666667	307.692307692	200	6.66666666667e-06	3.07692307692e-06	2e-06	NA	NA	1	0
Equatorial Guinea	1	0	0	N/A	7.6e-07	0.0	5	2	1.25	3.8e-06	1.52e-06	9.5e-07	NA	NA	NA	NA
Tunisia	18	0	0	N/A	1.56e-06	0.0	90	36	22.5	7.8e-06	3.12e-06	1.95e-06	NA	NA	0	0
Senegal	24	0	1	N/A	1.51e-06	0.0	120	48	30	7.55e-06	3.02e-06	1.8875e-06	NA	NA	14	0
Gabon	1	0	0	N/A	4.7e-07	0.0	5	2	1.25	2.35e-06	9.4e-07	5.875e-07	NA	NA	0	0
Afghanistan	16	0	0	N/A	4.3e-07	0.0	80	32	20	2.15e-06	8.6e-07	5.375e-07	NA	NA	5	0
Qatar	401	0	4	N/A	0.00014416	0.0	2005	802	501.25	0.0007208	0.00028832	0.0001802	NA	NA	64	0
Bangladesh	5	0	0	N/A	3e-08	0.0	25	10	6.25	1.5e-07	6e-08	3.75e-08	NA	NA	2	0
Bhutan	1	0	0	N/A	1.33e-06	0.0	5	2	1.25	6.65e-06	2.66e-06	1.6625e-06	NA	NA	0	0
Kuwait	112	0	5	N/A	2.707e-05	0.0	560	224	140	0.00013535	5.414e-05	3.38375e-05	NA	NA	8	0
Nepal	1	0	1	N/A	4e-08	0.0	5	2	1.25	2e-07	8e-08	5e-08	NA	NA	0	0
Cambodia	7	0	1	N/A	4.3e-07	0.0	35	14	8.75	2.15e-06	8.6e-07	5.375e-07	NA	NA	0	0
Bahrain	214	0	60	N/A	0.00013635	0.0	1070	428	267.5	0.00068175	0.0002727	0.0001704375	NA	NA	4	0
Brunei	50	0	0	N/A	0.00011656	0.0	250	100	62.5	0.0005828	0.00023312	0.0001457	NA	NA	10	0
Saudi Arabia	103	0	1	N/A	3.06e-06	0.0	515	206	128.75	1.53e-05	6.12e-06	3.825e-06	NA	NA	0	0
Iran	13938	724	4590	N/A	0.00017039	8.85e-06	241333.333333	111384.615385	72400	0.00295	0.00136153846154	0.000885	NA	NA	1209	113
Singapore	226	0	105	N/A	4.008e-05	0.0	1130	452	282.5	0.0002004	8.016e-05	5.01e-05	NA	NA	14	0
Jordan	8	0	1	N/A	8e-07	0.0	40	16	10	4e-06	1.6e-06	1e-06	NA	NA	7	0
China	81003	3203	67017	N/A	5.816e-05	2.3e-06	1067666.66667	492769.230769	320300	0.000766666666667	0.000353846153846	0.00023	NA	NA	26	10
Thailand	114	1	35	N/A	1.64e-06	1e-08	333.333333333	153.846153846	100	3.33333333333e-06	1.53846153846e-06	1e-06	NA	NA	32	0
Iraq	116	10	26	N/A	3.02e-06	2.6e-07	3333.33333333	1538.46153846	1000	8.66666666667e-05	4e-05	2.6e-05	NA	NA	6	0
Kazakhstan	9	0	0	N/A	4.9e-07	0.0	45	18	11.25	2.45e-06	9.8e-07	6.125e-07	NA	NA	3	0
Maldives	13	0	0	N/A	2.521e-05	0.0	65	26	16.25	0.00012605	5.042e-05	3.15125e-05	NA	NA	3	0
Oman	22	0	9	N/A	4.56e-06	0.0	110	44	27.5	2.28e-05	9.12e-06	5.7e-06	NA	NA	3	0
Philippines	140	11	2	N/A	1.31e-06	1e-07	3666.66666667	1692.30769231	1100	3.33333333333e-05	1.53846153846e-05	1e-05	NA	NA	29	3
Indonesia	117	5	8	N/A	4.4e-07	2e-08	1666.66666667	769.230769231	500	6.66666666667e-06	3.07692307692e-06	2e-06	NA	NA	21	0
Vietnam	56	0	16	N/A	5.9e-07	0.0	280	112	70	2.95e-06	1.18e-06	7.375e-07	NA	NA	3	0
Mongolia	1	0	0	N/A	3.2e-07	0.0	5	2	1.25	1.6e-06	6.4e-07	4e-07	NA	NA	0	0
Japan	839	22	118	N/A	6.63e-06	1.7e-07	7333.33333333	3384.61538462	2200	5.66666666667e-05	2.61538461538e-05	1.7e-05	NA	NA	66	0
Taiwan	59	1	20	N/A	2.48e-06	4e-08	333.333333333	153.846153846	100	1.33333333333e-05	6.15384615385e-06	4e-06	NA	NA	6	0
Pakistan	53	0	2	N/A	2.5e-07	0.0	265	106	66.25	1.25e-06	5e-07	3.125e-07	NA	NA	22	0
United Arab Emirates	98	0	23	N/A	1.018e-05	0.0	490	196	122.5	5.09e-05	2.036e-05	1.2725e-05	NA	NA	13	0
India	113	2	13	N/A	8e-08	0.0	666.666666667	307.692307692	200	4e-07	1.6e-07	1e-07	NA	NA	11	0
Uzbekistan	1	0	0	N/A	3e-08	0.0	5	2	1.25	1.5e-07	6e-08	3.75e-08	NA	NA	NA	NA
Malaysia	428	0	42	N/A	1.354e-05	0.0	2140	856	535	6.77e-05	2.708e-05	1.6925e-05	NA	NA	190	0
Sri Lanka	18	0	1	N/A	8.3e-07	0.0	90	36	22.5	4.15e-06	1.66e-06	1.0375e-06	NA	NA	8	0
Lebanon	110	3	1	N/A	1.606e-05	4.4e-07	1000	461.538461538	300	0.000146666666667	6.76923076923e-05	4.4e-05	NA	NA	17	0
South Korea	8162	75	510	N/A	0.00015807	1.45e-06	25000	11538.4615385	7500	0.000483333333333	0.000223076923077	0.000145	NA	NA	76	3
Canada	250	1	8	N/A	6.75e-06	3e-08	333.333333333	153.846153846	100	1e-05	4.61538461538e-06	3e-06	NA	NA	54	0
Jamaica	10	0	0	N/A	3.41e-06	0.0	50	20	12.5	1.705e-05	6.82e-06	4.2625e-06	NA	NA	2	0
Honduras	3	0	0	N/A	3.1e-07	0.0	15	6	3.75	1.55e-06	6.2e-07	3.875e-07	NA	NA	1	0
Mexico	41	0	4	N/A	3.2e-07	0.0	205	82	51.25	1.6e-06	6.4e-07	4e-07	NA	NA	15	0
Panama	43	1	0	N/A	1.029e-05	2.4e-07	333.333333333	153.846153846	100	8e-05	3.69230769231e-05	2.4e-05	NA	NA	7	0
Cuba	4	0	0	N/A	3.5e-07	0.0	20	8	5	1.75e-06	7e-07	4.375e-07	NA	NA	0	0
United States of America	3499	63	12	N/A	1.069e-05	1.9e-07	21000	9692.30769231	6300	6.33333333333e-05	2.92307692308e-05	1.9e-05	NA	NA	773	9
Costa Rica	27	0	0	N/A	5.4e-06	0.0	135	54	33.75	2.7e-05	1.08e-05	6.75e-06	NA	NA	1	0
Trinidad and Tobago	2	0	0	N/A	1.44e-06	0.0	10	4	2.5	7.2e-06	2.88e-06	1.8e-06	NA	NA	0	0
Guatemala	1	0	0	N/A	6e-08	0.0	5	2	1.25	3e-07	1.2e-07	7.5e-08	NA	NA	0	0
Antigua and Barbuda	1	0	0	N/A	1.039e-05	0.0	5	2	1.25	5.195e-05	2.078e-05	1.29875e-05	NA	NA	0	0
Paraguay	6	0	0	N/A	8.6e-07	0.0	30	12	7.5	4.3e-06	1.72e-06	1.075e-06	NA	NA	0	0
Saint Vincent and the Grenadines	1	0	0	N/A	9.07e-06	0.0	5	2	1.25	4.535e-05	1.814e-05	1.13375e-05	NA	NA	0	0
Dominican Republic	11	0	0	N/A	1.04e-06	0.0	55	22	13.75	5.2e-06	2.08e-06	1.3e-06	NA	NA	0	0
Saint Lucia	2	0	0	N/A	1.1e-05	0.0	10	4	2.5	5.5e-05	2.2e-05	1.375e-05	NA	NA	1	0
Brazil	162	0	0	N/A	7.7e-07	0.0	810	324	202.5	3.85e-06	1.54e-06	9.625e-07	NA	NA	11	0
Chile	74	0	0	N/A	3.95e-06	0.0	370	148	92.5	1.975e-05	7.9e-06	4.9375e-06	NA	NA	13	0
Suriname	1	0	0	N/A	1.74e-06	0.0	5	2	1.25	8.7e-06	3.48e-06	2.175e-06	NA	NA	0	0
Colombia	34	0	0	N/A	6.8e-07	0.0	170	68	42.5	3.4e-06	1.36e-06	8.5e-07	NA	NA	12	0
Uruguay	4	0	0	N/A	1.16e-06	0.0	20	8	5	5.8e-06	2.32e-06	1.45e-06	NA	NA	0	0
Aruba	2	0	0	N/A	1.89e-05	0.0	10	4	2.5	9.45e-05	3.78e-05	2.3625e-05	NA	NA	0	0
Peru	43	0	0	N/A	1.34e-06	0.0	215	86	53.75	6.7e-06	2.68e-06	1.675e-06	NA	NA	5	0
Guyana	4	1	0	N/A	5.13e-06	1.28e-06	333.333333333	153.846153846	100	0.000426666666667	0.000196923076923	0.000128	NA	NA	3	0
Argentina	45	2	1	N/A	1.01e-06	4e-08	666.666666667	307.692307692	200	1.33333333333e-05	6.15384615385e-06	4e-06	NA	NA	11	0
Bolivia	10	0	0	N/A	8.8e-07	0.0	50	20	12.5	4.4e-06	1.76e-06	1.1e-06	NA	NA	0	0
Venezuela	10	0	0	N/A	3.5e-07	0.0	50	20	12.5	1.75e-06	7e-07	4.375e-07	NA	NA	8	0
Ecuador	28	2	0	N/A	1.64e-06	1.2e-07	666.666666667	307.692307692	200	4e-05	1.84615384615e-05	1.2e-05	NA	NA	0	0
Curacao	1	0	0	N/A	6.26e-06	0.0	5	2	1.25	3.13e-05	1.252e-05	7.825e-06	NA	NA	0	0
Diamond Princess	696	7	325	N/A	N/A	N/A	2333.33333333	1076.92307692	700	N/A	N/A	N/A	NA	NA	0	0
Cayman Islands	1	0	0	N/A	1.558e-05	0.0	5	2	1.25	7.79e-05	3.116e-05	1.9475e-05	NA	NA	0	0
Guadeloupe	3	0	0	N/A	N/A	N/A	15	6	3.75	N/A	N/A	N/A	NA	NA	2	0
Reunion	7	0	0	N/A	N/A	N/A	35	14	8.75	N/A	N/A	N/A	NA	NA	1	0
